time_signature,audio_valence,song_name,speechiness,tempo,energy,song_duration_ms,loudness,danceability,liveness,instrumentalness,acousticness,target
4,0.63,6555,0.207,94.808,0.738,226183,-3.67,0.746,0.043,0.0,0.0705,68
4,0.621,7991,0.0798,99.866,0.825,215003,-4.056,0.493,0.129,0.0,0.0079,46
4,0.76,6110,0.0571,126.035,0.725,175239,-5.445,0.836,0.108,0.0,0.0429,44
4,0.451,2812,0.0647,119.974,0.779,161093,-4.657,0.701,0.121,0.0,0.00436,37
4,0.62,8780,0.0795,91.998,0.563,182224,-8.329,0.871,0.0568,0.0,0.149,53
4,0.74,4927,0.0723,166.16,0.8009999999999999,215421,-5.407,0.65,0.0645,0.0,0.0507,65
4,0.47,1257,0.0509,90.00299999999999,0.437,196018,-7.867999999999999,0.784,0.126,6.979999999999999e-05,0.265,68
4,0.421,7599,0.161,78.833,0.7290000000000001,204453,-4.934,0.494,0.143,0.0,0.133,59
4,0.294,574,0.0414,84.98,0.58,229038,-5.612,0.561,0.0619,0.0,0.0199,43
4,0.546,5602,0.174,185.502,0.685,191906,-3.232,0.483,0.0817,0.0,0.369,53
4,0.4039999999999999,9836,0.0567,175.921,0.823,237860,-2.436,0.62,0.1119999999999999,3.13e-05,0.0762,54
4,0.926,3792,0.0996,105.115,0.8590000000000001,217288,-4.877,0.7040000000000001,0.0215,0.0,0.0185,84
4,0.489,1198,0.0474,100.934,0.765,202574,-5.732,0.633,0.0966,6.890000000000001e-05,0.586,44
4,0.836,10517,0.0767,92.375,0.7140000000000001,167823,-6.1770000000000005,0.853,0.0716,0.0101,0.569,40
4,0.813,11747,0.099,105.026,0.8370000000000001,241135,-4.488,0.8,0.0699,4.52e-05,0.0652,41
4,0.434,5659,0.0546,109.921,0.7929999999999999,194011,-5.032,0.743,0.2269999999999999,6.07e-05,0.118,37
4,0.6809999999999999,2415,0.226,99.165,0.77,236133,-6.596,0.6459999999999999,0.0715,0.0,0.00249,79
4,0.818,9230,0.14,100.972,0.7140000000000001,267266,-6.055,0.8909999999999999,0.0521,0.000234,0.2019999999999999,74
4,0.708,1141,0.0566,129.995,0.6659999999999999,241933,-5.899,0.745,0.302,0.0,0.159,10
4,0.923,11498,0.121,143.011,0.847,198813,-3.925,0.774,0.241,0.0183,0.0279,60
4,0.5489999999999999,7223,0.342,117.298,0.8320000000000001,300026,-2.388,0.672,0.242,0.000428,0.342,70
4,0.583,12630,0.1119999999999999,105.018,0.7909999999999999,250373,-4.699,0.894,0.0388,0.0,0.0183,79
4,0.478,6521,0.255,159.841,0.862,338853,-3.363,0.375,0.211,0.0,0.071,76
4,0.7559999999999999,4820,0.0712,100.024,0.8240000000000001,218093,-5.892,0.778,0.405,0.0,0.284,84
4,0.768,4774,0.0436,97.03,0.885,216666,-4.432,0.675,0.086,0.0,0.217,77
4,0.965,8786,0.0292,127.975,0.71,239600,-5.849,0.733,0.0956,0.115,0.145,84
