Weight,Gpu,Company,Inches,ScreenResolution,Ram,Memory,TypeName,Product,OpSys,Cpu,target
28,53,7,12.5,0,8,16,2,110,5,78,1389.0
105,47,16,15.6,0,5,26,3,411,5,68,780.0
130,76,4,15.6,6,1,29,1,256,5,102,1679.0
124,65,10,15.6,8,5,10,3,203,5,74,609.0
102,22,4,15.6,8,8,16,3,547,5,74,789.81
14,53,10,14.0,15,8,15,4,472,5,74,1875.0
56,53,0,14.0,15,8,4,3,430,5,59,619.0
34,53,10,14.0,15,8,16,3,469,5,78,1650.0
96,53,16,15.6,0,5,26,3,411,5,59,669.0
173,80,4,17.3,15,4,31,1,56,5,102,3072.89
102,53,4,15.6,0,8,4,3,547,5,74,713.99
51,47,7,14.0,8,8,29,4,111,7,89,1870.0
102,22,4,15.6,8,5,16,3,547,5,97,739.0
30,53,7,13.3,7,8,16,0,114,5,74,2277.0
51,47,7,14.0,8,8,29,4,111,5,89,1468.0
74,41,7,15.6,0,5,4,3,50,4,36,299.0
87,53,4,15.6,8,8,4,3,281,5,74,945.0
30,53,7,13.3,7,8,16,0,114,5,99,2559.0
129,75,10,15.6,15,8,10,1,291,4,77,1017.0
38,53,10,13.3,13,8,16,0,474,5,97,1950.0
108,108,4,15.6,8,8,10,5,350,5,102,1778.0
24,72,15,15.0,8,1,16,4,309,5,97,1849.0
102,72,4,15.6,8,5,5,3,551,5,74,912.5
90,53,7,15.6,8,5,16,3,363,5,74,839.0
30,53,7,13.3,7,5,16,0,114,5,74,1700.0
113,40,4,15.6,0,5,26,3,238,5,112,369.0
30,53,7,13.3,7,5,16,0,114,5,74,1799.0
18,53,15,15.0,8,8,16,4,309,5,97,1699.0
34,53,10,14.0,15,8,16,4,469,5,74,1799.0
90,69,7,15.6,8,8,10,3,363,5,97,900.0
87,53,4,15.6,8,8,26,3,281,5,78,935.0
14,53,10,14.0,15,8,15,4,472,5,97,2049.0
135,89,10,15.6,15,8,5,3,225,5,70,789.0
62,53,4,14.0,8,8,16,3,279,5,79,1205.0
90,69,7,15.6,8,8,16,3,363,5,97,1018.99
45,53,10,13.3,8,5,4,3,453,5,74,881.0
135,76,4,15.6,8,1,5,1,256,5,102,1349.0
102,22,4,15.6,0,5,10,3,547,5,74,684.99
38,53,10,13.3,13,8,29,0,474,5,74,1825.0
102,53,4,15.6,0,5,10,3,547,5,74,708.06
113,44,10,15.6,0,5,10,3,208,5,113,309.0
28,47,7,12.5,8,5,26,4,110,5,68,1579.0
74,41,7,15.6,0,5,10,3,50,4,36,288.9
28,47,7,12.5,8,8,16,2,110,5,68,1669.0
102,47,4,15.6,0,5,10,3,547,5,54,558.6
113,66,10,15.6,8,8,10,3,203,4,97,685.0
110,24,4,15.6,0,5,10,3,239,2,54,465.62
87,53,4,15.6,0,5,26,3,281,5,74,825.0
90,53,7,15.6,8,5,26,3,363,5,59,685.0
173,80,4,17.3,15,4,18,1,56,5,102,3149.0
124,66,10,15.6,8,7,16,3,203,5,74,695.0
173,80,4,17.3,8,4,18,1,56,5,92,2800.0
113,7,10,15.6,8,7,16,3,206,5,5,549.0
110,24,4,15.6,0,5,26,3,239,5,74,599.0
129,79,10,15.6,15,8,5,1,291,5,102,1189.0
118,30,4,15.6,0,8,10,3,245,5,97,749.0
48,53,7,14.0,8,8,29,4,111,5,97,2089.0
102,53,4,15.6,0,5,4,3,547,5,59,547.0
59,53,7,14.0,0,5,26,3,369,5,74,779.0
48,47,7,14.0,0,5,16,3,111,5,71,1099.99
44,47,7,14.0,8,8,16,4,109,7,91,1449.0
59,69,7,14.0,8,8,16,3,362,5,74,1049.26
59,53,7,14.0,0,5,26,3,369,5,59,684.0
132,75,4,15.6,8,8,1,1,256,5,77,949.0
28,53,7,12.5,8,5,26,4,110,5,74,1539.0
51,47,7,14.0,8,8,16,4,111,5,89,1887.21
90,53,7,15.6,0,5,16,3,363,5,59,769.99
44,47,7,14.0,8,8,16,3,109,5,89,2229.0
59,69,7,14.0,8,8,16,3,362,5,97,1185.43
114,53,7,14.0,0,5,26,3,366,5,74,1189.0
31,53,4,13.3,31,8,16,4,576,5,74,1624.0
59,53,7,14.0,0,5,16,3,362,5,74,973.0
105,17,0,15.6,0,7,10,3,58,5,14,409.0
72,47,7,15.6,8,8,16,3,112,5,89,1228.99
28,47,7,12.5,8,8,16,4,110,5,89,1349.0
90,53,7,15.6,0,5,26,3,363,5,74,742.0
59,53,7,14.0,8,8,16,3,362,5,74,1010.51
51,47,7,14.0,8,5,26,3,111,5,68,1000.0
44,47,7,14.0,8,8,16,3,109,7,68,1469.0
90,53,7,15.6,0,5,16,3,363,5,74,979.0
32,53,4,13.3,31,1,12,4,576,5,97,2254.0
114,47,7,15.6,0,5,26,3,366,5,58,705.15
90,53,7,15.6,8,8,16,3,363,5,97,1070.0
110,40,4,15.6,8,5,10,3,239,5,74,559.0
115,30,4,15.6,8,1,22,3,245,5,97,989.99
31,53,4,13.3,8,8,16,4,576,5,97,1458.0
114,47,7,15.6,0,5,26,3,366,5,68,1199.0
28,47,7,12.5,8,8,16,4,110,7,68,1199.0
49,53,7,13.3,8,8,16,3,361,5,97,1090.0
41,47,10,12.5,13,8,16,4,474,5,89,1713.49
41,53,7,13.3,12,1,29,4,421,5,97,2049.0
102,53,4,15.6,8,8,16,3,547,5,74,750.0
51,47,7,14.0,8,5,26,3,111,7,68,1030.99
74,47,7,15.6,0,5,10,3,50,4,56,345.99
118,30,4,15.6,8,8,10,3,245,5,74,638.8
124,76,10,15.6,8,1,29,1,291,5,102,1199.0
17,47,7,13.3,8,8,29,4,419,5,89,1969.0
17,47,7,13.3,8,8,16,3,419,5,68,1690.0
44,47,7,14.0,8,8,16,3,109,7,68,1513.0
78,47,10,14.0,13,8,16,0,474,5,89,1669.0
28,47,7,12.5,0,8,16,4,110,7,71,1895.0
124,79,10,15.6,15,8,5,1,291,4,77,989.0
72,53,7,15.6,8,8,16,4,50,5,97,752.0
108,72,0,15.6,8,5,10,3,71,5,74,616.0
129,30,4,15.6,0,8,10,3,245,5,74,784.0
76,47,7,15.6,8,8,16,4,112,7,89,2171.72
144,47,10,14.0,30,1,29,0,472,5,91,2440.0
48,47,7,13.3,7,8,16,0,419,5,71,1629.0
48,47,7,13.3,39,8,16,0,419,5,91,1799.0
102,72,4,15.6,8,8,16,3,551,5,97,1009.9
76,47,7,15.6,8,8,16,3,112,7,68,1579.0
48,47,7,13.3,39,8,29,0,419,5,91,2041.0
130,76,4,15.6,6,8,5,1,256,5,102,1498.0
105,61,7,15.6,8,1,29,3,363,5,106,1159.0
37,47,10,14.0,30,8,16,0,472,5,68,1637.0
51,65,10,15.6,8,7,16,4,203,5,97,831.0
108,72,0,15.6,8,5,16,3,71,5,74,691.0
24,47,4,13.3,31,8,16,4,576,2,71,1099.0
124,75,10,15.6,15,8,10,1,291,5,77,819.0
74,53,7,15.6,0,5,26,3,50,5,74,485.0
121,29,4,15.6,0,5,4,3,245,5,54,499.0
32,53,4,13.3,31,1,29,4,576,5,97,2680.0
118,30,4,15.6,8,8,16,3,245,5,74,889.0
113,80,2,15.6,8,1,18,1,408,5,102,2449.0
144,53,10,17.3,2,8,10,3,212,4,74,539.0
31,53,4,13.3,31,8,16,4,576,5,97,1477.0
102,47,4,15.6,0,5,10,3,547,2,74,521.86
135,89,10,15.6,13,1,5,1,225,5,92,1029.0
83,79,14,14.0,8,1,12,1,85,5,102,3499.0
121,53,4,15.6,36,8,10,3,239,5,59,469.01
50,53,10,13.3,15,1,29,3,453,5,97,1499.0
113,7,10,15.6,8,7,16,3,206,5,5,597.57
51,47,7,14.0,8,5,16,3,111,7,68,1099.99
62,53,4,14.0,0,5,26,3,279,5,74,875.0
113,40,4,15.6,0,5,26,3,238,2,112,324.0
121,53,4,15.6,0,7,10,3,239,5,59,459.0
106,40,4,15.6,0,3,26,3,238,5,34,379.0
135,89,10,15.6,15,8,10,3,225,5,92,899.0
121,24,4,15.6,0,8,10,3,239,2,97,805.99
41,47,10,13.3,19,1,29,0,588,5,89,1499.0
56,40,10,14.0,0,3,35,3,196,5,34,229.0
121,53,4,15.6,0,7,10,3,239,5,59,459.0
106,40,4,15.6,0,3,26,3,238,5,34,379.0
135,89,10,15.6,15,8,10,3,225,5,92,899.0
121,24,4,15.6,0,8,10,3,239,2,97,805.99
41,47,10,13.3,19,1,29,0,588,5,89,1499.0
56,40,10,14.0,0,3,35,3,196,5,34,229.0
121,53,4,15.6,0,7,10,3,239,5,59,459.0
106,40,4,15.6,0,3,26,3,238,5,34,379.0
135,89,10,15.6,15,8,10,3,225,5,92,899.0
121,24,4,15.6,0,8,10,3,239,2,97,805.99
41,47,10,13.3,19,1,29,0,588,5,89,1499.0
56,40,10,14.0,0,3,35,3,196,5,34,229.0
