iter	Passed	Remaining
972	17066	473
973	17079	455
974	17092	438
975	17107	420
976	17121	403
977	17137	385
978	17150	367
979	17167	350
980	17183	332
981	17200	315
982	17217	297
983	17233	280
984	17247	262
985	17260	245
986	17273	227
987	17288	209
988	17300	192
989	17314	174
990	17329	157
991	17342	139
992	17356	122
993	17374	104
994	17391	87
995	17406	69
996	17419	52
997	17437	34
998	17453	17
999	17476	0
